222;Diogenes;Bochacz;29-Jan-11;470;2;1871
223;Kalasanty;Szatyniak;15-Dec-96;1936;1;1944
224;Innocenty;Baraniuk;15-Apr-92;1856;1;1011
225;Terencjusz;Koropajka;10-Dec-94;116;4;244
226;Nadmir;Kociota;20-Aug-17;1665;2;578
227;German;Dziebiela;9-May-09;421;3;784
228;Mokij;Simiczonek;23-May-95;1058;3;184
229;Karol Boromeusz;Hrda;22-Aug-99;1873;3;879
230;Dobiemir;Weschler;1-Apr-18;886;2;1071
231;Marcin;Gniazdecka;20-Feb-22;1343;4;294
232;Dymitr;Dêby;24-Dec-11;197;3;32
233;Kewin;Mandr¹k;23-Sep-05;710;2;866
234;Miligost;Mej³usz;22-Feb-94;904;1;1655
235;Dymitr;Nasytko;5-Nov-96;2095;3;1925
236;Fidelis;Binich;25-Nov-20;1088;2;687
237;Klemens;Ko³obaszkin;25-Sep-94;577;4;1043
238;Czesemir;Gogniak;2-Jan-20;370;1;203
239;Bo¿eciech;Sapierzejska;21-Feb-20;1273;1;1670
240;Strze¿ys³aw;Chorbotowicz;18-Aug-19;347;1;896
241;Ludos³aw;Lituœniak;30-Dec-20;495;2;20
242;Czech;Winkelmann;21-Jan-06;2006;4;1355
243;Afanazy;Cyprianik;25-Feb-04;2023;4;383
244;Dobrymir;Go³¹biewski;12-Jan-22;340;2;1935
245;Domamir;Mirdoszewska;1-Oct-17;2012;1;59
246;Œwiêcimir;Naglarski;2-Aug-18;1093;3;1432
247;Dacjan;Potapczuk;22-Oct-92;818;3;1229
248;Machabeusz;P³ocinniczak;1-Apr-08;1897;2;1984
249;Zygmunt;Dmitruczak;11.mar.11;780;3;977
250;Strze¿ywoj;Makaj;29-Sep-14;1268;2;923
251;Dzier¿ymir;Tymoczek;13-Aug-13;1923;4;1236
252;Galezy;Kasiurek;19-Jun-98;1043;2;1951
253;Wszeb¹d;Formas;26-Jul-03;774;2;1682
254;Otniel;Sierka;24-Aug-00;878;1;480
255;Wojs³aw;Jêdrkowiak;24-Jul-06;1139;3;1721
256;Jeremi;Go³embniak;16-Jun-21;1279;3;1866
257;Ciechos³aw;Zawis³añska;29-Aug-94;530;2;492
258;Wincenty;Pi¹sny;27-Dec-21;748;1;362
259;Hipolit;Kanbudzka;14-Dec-09;421;4;1119
260;Abel;Badurak;7-Jul-95;323;1;1995
261;Stanis³aw;Bubulis;27-Feb-17;1904;1;1591
262;Herman;Sordel;12-Aug-03;1533;1;1216
263;Ciechomir;Harisz;16-Nov-03;795;3;553
264;Nadbor;Orada;17-Sep-16;279;2;354
265;Wirgiliusz;Synowzik;26-Apr-14;308;3;786
266;Amedeusz;JaŸdzi³owska;3-Aug-94;1925;3;1016
267;Taras;Kisniowska;15-Apr-22;672;2;584
268;Karp;Ko³oszyñski;1-Nov-05;89;2;454
269;Brunon;Bortkowiak;15-Jan-16;1681;1;549
270;Bronimir;Chuchler;24-Nov-93;333;2;610
271;Uniewit;Domia³a;14-Jun-07;1636;2;222
272;Terencjusz;Figwer;11-Aug-19;1645;2;1925
273;Agatonik;Szwade;21-Jul-06;699;2;806
274;Sieciech;Tonderys;28-Jun-93;1232;1;1173
275;Zdobys³aw;Okulenko;1-Nov-94;55;1;940
276;Laurenty;Zimierowski;20-Aug-90;1177;2;441
277;Bolemir;Speidelspach;6-Sep-01;2020;3;504
278;Pankracy;Benorz;6-Apr-18;1825;1;1202
279;Sylweriusz;Herbacienko;11-Jan-04;108;2;280
280;Otomar;Mojeszczyk;3-Aug-14;208;2;1895
281;Liwiusz;Œniegorski;18-Jan-14;946;4;1037
282;Epifani;Kastalik;20-Sep-07;1977;1;1286
283;Goliat;Szukany;27-Jul-07;826;1;464
284;Spycimir;Pulewski;7-Apr-95;102;3;909
285;Barabasz;Wó³czyk;1-Jan-10;671;4;1043
286;Pakosz³aw;Sys³o;14-Jul-00;957;1;1748
287;Efrem;Bodziuch vel Bo¿ek;9-Apr-01;772;4;211
288;Gerwazy;Fornat;8-Aug-99;1583;4;1257
289;Polikarp;Hawry³;6-Feb-03;840;2;1858
290;Auksencjusz;Zarzyñski;23-Apr-05;1793;1;342
291;Jan Kanty;Leszczowicz;19-Jun-14;2065;3;1588
292;Dobromir;Urbainczyk;4-Aug-19;921;2;1141
293;Namys³aw;Dybanowski;1-Nov-97;915;3;1470
294;Zdzibor;Cherch;2-Feb-98;1128;1;1382
295;Racis³aw;Minuczyc;2-Oct-20;1869;2;1164
296;Ozeasz;Burgielski;13-Jun-09;836;3;1671
297;Jerzy;Dajnowiec;19-Apr-12;1151;4;1298
298;Radomys³;Glasnapp;30-Sep-01;494;4;48
299;Eustachy;Rzymiszkiewicz;18-Nov-08;1022;3;560
300;Heliodor;Hi¿eñska;30.mar.12;847;4;639
301;Arseniusz;K³aczkowski;3-Jul-12;641;4;1473
302;Kiry³;Karysz;13-Jan-08;51;3;200
303;Prot;Dzimidko;19-Apr-19;1248;3;1586
304;Krzywos¹d;Stegêda;2-Sep-00;1756;2;544
305;Krzywos¹d;Bednaszyñski;27-Apr-13;826;2;1652
306;Pakosz;Babyñko;11-Oct-95;1404;3;1444
307;Magnus;Wcis³oœ;26-Oct-03;217;1;60
308;Engelbert;Ciamta;28-Dec-91;527;3;1475
309;Mi³os³aw;Œniciekowski;15-Jan-13;916;4;679
310;Eryk;Cwi³owska;09.mar.02;1590;4;1585
311;Boromeusz;Olcarczyk;15-Nov-93;513;2;811
312;Kordian;Siaga;19-Jan-00;1413;4;1907
313;Skarbimir;Pepkowska;24-Jul-95;784;3;541
314;Izajasz;Cynkiewicz;28-May-02;1815;1;148
315;Pafnucy;Z³otocki;10-Aug-90;1772;4;791
316;Domarat;Zo³edowski;10-Oct-22;37;3;264
317;Ksawery;Lepczyc;17-Sep-04;1420;2;1079
318;Miron;¯eszczyk;18-Feb-91;537;1;193
319;Rados³aw;Lamat;17.mar.10;660;2;1913
320;Grodzis³aw;Zientkowski;9-Jul-22;1918;3;375
321;Siecies³aw;Mucha vel Suchocki;18-Dec-96;618;4;121
322;Oskar;Skroœlak;30-Aug-98;207;2;381
323;Hegezyp;Antaczak;2-Oct-96;761;2;54
324;Janis³aw;Wiesyk;20-Apr-92;13;1;812
325;Zacheusz;Brombereg;4-Dec-10;305;1;129
326;Klaudiusz;Nasieduchowa;2-Feb-99;1703;3;468
327;Bartosz;Strulis;10-Dec-99;2050;3;1455
328;Rut;Smeredel;3-Nov-13;1217;2;1161
329;Broniwoj;Sygnutowska;22-Sep-19;1689;1;933
330;Terencjusz;Denisso;4-Feb-04;1702;3;1197
331;Domarat;Janisia;25-Jul-97;1983;3;1151
332;Tyburcjusz;Minier;26.mar.01;1278;1;1810
333;Hipolit;Rybowiecki;15-Jun-15;1227;3;1501
334;Stojgniew;Kurcwald;13-Apr-11;1593;2;1138
335;Domicjan;Czahurski;26-Sep-90;28;4;266
336;Elizeusz;Lunik;3-May-14;671;2;596
337;Godzimierz;Vorlauf;19.mar.05;2069;4;1301
338;Trzebis³aw;Josiger;12-Nov-04;1436;3;813
339;Iwon;Jozek;9-Jul-05;480;1;1714
340;Pudens;Kusek;19-Feb-92;143;3;176
341;Brodzis³aw;Dodane;31-Jul-08;2068;4;135
342;Justyn;Smigier;11-Apr-93;1095;2;1747
343;Wiêces³aw;Skomski;27-Jun-12;1786;4;1302
344;Dobiemir;Korych;4-Feb-92;1797;2;1461
345;Henryk;Buchczyk;30-Nov-99;1155;3;399
346;Sulirad;Brzica;26-Apr-18;644;2;760
347;Jan Nepomucen;Zofian;12-Dec-94;1927;3;212
348;Godzimir;Nimiec;25-Dec-96;2104;1;1450
349;Dariusz;Kopciejewski;3-Sep-08;444;1;1759
350;Stos³aw;Cytroñ;7-Apr-01;2055;1;453
351;Lutogniew;Kalinowski vel Kalisz;31-Dec-17;758;3;786
352;Ziemowit;Zydorowicz;26-May-14;304;2;672
353;Budzisz;Meczulski;1-May-13;567;1;134
354;Wiêcemi³;Fidelek;10-Sep-08;1167;4;387
355;Karol Boromeusz;Korowoda;13-Jul-07;2124;1;758
356;Domas³aw;Brommirska;17-Aug-08;386;4;718
357;Sulis³aw;Fralich;19-Jul-19;1954;2;654
358;Bernardyn;Pudzisz;14-Jan-22;1392;4;1931
359;Julian;Tumanowicz;21-Oct-03;192;1;543
360;Epifan;Kracicka;17-Nov-09;2142;4;1061
361;Dobies³aw;Bakszczanin;25-Jan-91;453;1;1451
362;Romuald;Schramek;19-Oct-09;1249;3;1510
363;Damazy;Warasimiak;27-Jul-16;940;1;591
364;Szczepan;Guszpic;24-Apr-14;1628;2;182
365;Irydion;Dzedziela;2-May-04;594;3;502
366;Kanizjusz;Zaleski vel Zele;26.mar.03;1869;2;991
367;Wojbor;Czerwczak;19-Sep-95;976;3;1001
368;Przybymir;Szcz¹sna;29.mar.05;1745;4;978
369;Trofim;Czardybon;28-Oct-97;393;4;622
370;Lutogniew;Tafi³;12-Apr-01;642;1;1698
371;Nikifor;Bochmulska;23-Apr-06;1567;1;749
372;Augustyn;Klebacka;19-Aug-92;1376;3;1026
373;Kir;Komorniewska;31-Jan-08;1912;2;1861
374;Martyn;¯ubera;19-Nov-07;1322;1;1268
375;Cezary;Pa³yœ;10.mar.07;1831;4;935
376;Egon;Wojtusik;21-Feb-11;21;1;636
377;Sobies³aw;Karda;20-Dec-01;2126;3;1464
378;Apoloniusz;Wajsman;2-Apr-21;494;2;45
379;Lenart;Szary;31-Oct-93;650;4;1522
380;Bogdan;Rewnik;2-May-03;338;3;1146
381;Fidelis;Awremiuk;14-Jul-00;2038;1;1189
382;Przes³aw;Rauze;12.mar.91;2059;4;369
383;Frydolin;Herun;8-Aug-09;1559;2;774
384;Cierpis³aw;Chróñ;27-Apr-22;1954;1;1819
385;Leander;Przykl¹k;12-Aug-14;1971;2;1224
386;Bonifacy;Rubiniak;18-May-07;557;4;215
387;Dymitr;Gembyœ;13-May-99;161;4;958
388;Ksenofont;Jaszczukowicz;14-Jul-15;1475;4;1068
389;Zbylut;Dolegalski;24-Sep-22;1771;1;1129
390;Benicjusz;Molencki;1-Sep-10;1903;2;154
391;Bogudar;£ogwinik;2-Oct-17;1614;1;56
392;Wolmar;Jameta;9-Jul-14;1462;4;209
393;Romeo;Butrun;19-Dec-13;300;3;1719
394;Goœcirad;Piwakowski;4-Feb-17;615;3;1435
395;Bogumi³;Lembowicz;25-Feb-14;2055;2;1640
396;Ludwik;Kryczyñski;29-May-13;1123;1;51
397;Kalasanty;Flaszowski;22-Jun-17;792;3;1069
398;Krzywos¹d;Perchalec;11-Jan-93;1361;2;725
399;Cecyliusz;Stajnmec;14-May-99;208;3;312
400;Gracjan;Ba³czew;3-Sep-91;1778;2;1392
401;Sozant;Simiela;21-Apr-95;1269;3;1252
402;Zenon;Swidenko;29-Apr-90;1348;2;299
403;August;Stachura;14-Oct-17;1206;4;1891
404;Leopard;Zamiot;28-Dec-21;1986;1;1043
405;Antonin;Pancielejko;2-Dec-11;167;2;1169
406;Czêstogniew;Larka;14-May-03;1468;4;1416
407;Zachariasz;Przestwór;22-Oct-97;1410;2;824
408;Krzesis³aw;Siutryk;27-Jun-00;155;3;1783
409;Goœcirad;Iwaneñko;24-Oct-12;1563;2;270
410;Uniedrog;Chodnowski;16-Feb-19;1390;4;1700
411;Fabian;Groszownik;19-Nov-14;1281;4;1820
412;Karin;Dmytriw;24-Jun-16;1240;3;1832
413;Konstantyn;Stellmaszyk;19-Sep-10;1067;1;1069
414;Denis;RyŸlewicz;2-Sep-01;1948;3;1502
415;Nepomucen;Szwinta;13-Apr-03;1908;3;340
416;Prosimir;Sichañska;17-Dec-21;1162;4;1448
417;Orfeusz;Krzeptowicz;8-Nov-13;1385;2;149
418;Œwiêtobor;Trelowicz;29-Apr-06;1604;1;1815
419;S¹dos³aw;Chwedczenia;4-Feb-17;633;2;346
420;Symeon;Kukczyñski;26-Jul-95;270;2;1915
421;Albrecht;Kierszanowska;2-Dec-15;2004;1;899
422;Cyriak;Miêœcier;26-Feb-00;1769;4;1990
423;Romeo;Prucheñski;8-Sep-20;410;1;881
424;Andrzej;Po³hañ;8-Aug-06;2102;1;499
425;Justynian;Maœna;17-Sep-12;464;2;1372
426;Lutomys³;Chrystman;17-Apr-91;563;3;132
427;Janusz;Latosik;17-Jul-90;1219;1;1850
428;Iwan;Lohsz;22-Apr-21;393;3;598
429;Lucjan;Molstoñ;4-May-93;181;2;1959
430;Laurenty;Bezik;16-Feb-13;945;1;262
431;Malkolm;Valencia;19-Apr-92;378;2;1018
432;Florenty;Zab³otowska;4-May-09;330;4;1351
433;Gaspar;Zielonecka;14-Jan-91;1260;1;1831
434;Rufus;Siebeneichen;26-Feb-15;67;2;1787
435;Dionizy;Retorski;13-Nov-06;893;4;1752
436;Pakosz;Kalabun;2-Feb-04;116;1;764
437;Kilian;Sobieœ;26-Nov-00;1789;2;836
438;Amos;Bulcerak;1-Apr-17;1472;4;1183
439;Rut;Siuperacka;29.mar.00;432;3;145
440;Judasz;Wain;20-Feb-15;1613;1;1811
441;Justynian;Ty³patowicz;21-Aug-10;445;3;1907
442;Achilles;Obetka³;11-Aug-13;1011;4;79
443;Bogumir;B³a¿ucki;23-Feb-90;111;3;1580
444;Sambor;Gorkow;17-Feb-90;196;2;486
445;Wyszes³aw;Wypcha³owski;31-Jul-14;691;1;527
446;Faust;Leczyñski;27-Dec-18;1203;4;1484
447;Odon;Hang;4-Jan-97;87;4;514
448;Sawin;Pagaczewski;18-Jan-91;431;4;1290
449;S³awosz;Ergin;11-Jul-10;2106;3;1353
450;Eberhard;Oberek;29.mar.09;2036;2;1191
451;Zefir;Ruhmann;27-Oct-05;828;2;281
452;Iwan;Ruthe;10-Oct-22;912;3;780
453;Zbylut;Galastewicz;16-Oct-93;1460;2;1980
454;Ramon;Debert;11-Feb-98;46;4;1190
455;¯elis³aw;Suszlin;25-Jul-05;318;1;1313
456;Gustaw;Beszterda;28-Jul-00;424;2;869
457;Wasyl;Dygin;18-May-16;647;3;1369
458;Ryszard;Pika³a;8-Nov-15;12;2;1216
459;Prudencjusz;Szwarcbach;12-Feb-99;1395;3;1317
460;D³ugosz;Cynkowski;13-Aug-13;1044;4;719
461;Libert;He³niecka;14-May-16;330;4;1625
462;Zorian;Cimofiejczyk;17-Feb-11;1256;3;1084
463;Niedamir;Koz³owski;21-Dec-07;1091;2;804
464;Denis;Piekuszewski;7-Feb-15;1502;4;1044
465;Benicjusz;Puci³o;22-Jul-99;300;3;1175
466;Iwan;Kusmierczuk;7-Aug-16;750;3;1350
467;Chociemir;Ropuchowicz;14-Jun-91;341;3;306
468;Juliusz;Kordyzon;10.mar.00;1079;1;708
